title,type,technique,creation_date,url
Head of a Woman,Sculpture,marble,300–200 BCE,https://clevelandart.org/art/1916.831
Black-Figure Oinochoe (Wine Jug): Boxers,Ceramic,ceramic,c. 550–540 BCE,https://clevelandart.org/art/1916.1062
Fragment from Black-Figure Neck-Amphora of Panathenaic Shape (Storage Vessel): Apollo and Zeus,Ceramic,ceramic,c. 520 BCE,https://clevelandart.org/art/1915.533.a
Fragment from Red-Figure Oinochoe (Wine Jug) or Hydria (Water Jar): Woman Holding Box,Ceramic,ceramic,c. 425–420 BCE,https://clevelandart.org/art/1915.533.d
Fragment from Black-Figure Neck-Amphora of Panathenaic Shape (Storage Vessel): Apollo with Lyre,Ceramic,ceramic,c. 520 BCE,https://clevelandart.org/art/1915.533.f
Fragment from Red-Figure Cup: Woman,Ceramic,ceramic,c. 470–460 BCE,https://clevelandart.org/art/1915.533.b
Two-Spouted Strainer Askos (Flask) with Lid,Ceramic,ceramic,300–200 BCE,https://clevelandart.org/art/1915.529
Fragment from Black-Figure Neck-Amphora (Storage Vessel): Satyr and Horse,Ceramic,ceramic,c. 520–510 BCE,https://clevelandart.org/art/1915.533.c
Fragment of a Mold for Arretine Bowl,Ceramic,terracotta,27 BCE–14 CE,https://clevelandart.org/art/1916.2009
Pyxis,Stone,marble,400–300 BCE,https://clevelandart.org/art/1916.759
Five Fragments from Four Painted Vases,Ceramic,ceramic,c. 520–430 BCE,https://clevelandart.org/art/1915.533
Black-Figure Lekythos (Oil Vessel): Komos (Revel),Ceramic,ceramic,c. 500 BCE,https://clevelandart.org/art/1916.1061
Fragment of a Mold for Arretine Bowl,Ceramic,terracotta,27 BCE–14 CE,https://clevelandart.org/art/1916.2010
Shallow Ribbed Bowl,Glass,glass,50 BCE–100 CE,https://clevelandart.org/art/1915.537
Pitcher with Handle,Glass,"glass, mold-blown",300s CE or later,https://clevelandart.org/art/1915.553
Dancing Eros,Sculpture,terracotta,300–200 BCE,https://clevelandart.org/art/1915.1
Jug,Ceramic,red ware,c. 2000–1800 BCE,https://clevelandart.org/art/1916.1989
One-Handled Bowl,Ceramic,red ware,c. 2000–1725 BCE,https://clevelandart.org/art/1916.1990
Jug,Ceramic,red ware,2000–1800 BCE,https://clevelandart.org/art/1916.1991
Jug,Ceramic,black-glazed earthenware,c. 1600–1450 BCE,https://clevelandart.org/art/1916.1992
Jug,Ceramic,white painted ware,c. 1725–1600 BCE,https://clevelandart.org/art/1916.1994
One-Handled Bowl,Ceramic,white slip ware,c. 1450–1200 BCE,https://clevelandart.org/art/1916.1995
One-Handled Bowl,Ceramic,white slip ware,c. 1450–1200 BCE,https://clevelandart.org/art/1916.1996
Jug,Ceramic,white slip ware,c. 1450–1200 BCE,https://clevelandart.org/art/1916.1997
Jug,Ceramic,white slip ware,c. 1450–1200 BCE,https://clevelandart.org/art/1916.1998
Jug,Ceramic,base-ring ware,c. 1450–1200 BCE,https://clevelandart.org/art/1916.1999
Jug,Ceramic,base-ring ware,c. 1600–1450 BCE,https://clevelandart.org/art/1916.2000
Barrel-Shaped Jug,Ceramic,ceramic,c. 750–600 BCE,https://clevelandart.org/art/1916.2004
Jug,Ceramic,white painted ware,c. 600–475 BCE,https://clevelandart.org/art/1916.2005
Footed Bowl,Ceramic,white painted ware,c. 850–750 BCE,https://clevelandart.org/art/1916.2006
Bowl,Ceramic,white painted ware,c. 750–600 BCE,https://clevelandart.org/art/1916.2007
Amphora,Ceramic,red ware,c. 750–600 BCE,https://clevelandart.org/art/1916.2008
Black-Gloss Kantharos (Drinking Cup),Ceramic,ceramic,c. 300–275 BCE,https://clevelandart.org/art/1916.761
Jug,Ceramic,red ware,c. 2000–1800 BCE,https://clevelandart.org/art/1916.1987
Miniature Stirrup Jar,Ceramic,Cypro-Mycenaean ware,c. 1350–1300 BCE,https://clevelandart.org/art/1916.2002
Flask,Ceramic,Cypro-Mycenaean ware,c. 1350–1300 BCE,https://clevelandart.org/art/1916.2003
Strigil,Metalwork,bronze,324–476,https://clevelandart.org/art/1916.91
Vase,Glass,glass,c. 200–500 CE,https://clevelandart.org/art/1915.542
Pitcher with Handle,Glass,glass,100–400 CE,https://clevelandart.org/art/1915.547
Cup,Glass,glass,c. 300–400 CE,https://clevelandart.org/art/1915.549
Pitcher with Handle,Glass,glass,300s CE,https://clevelandart.org/art/1915.551
Fragment of a Lion,Sculpture,marble,before 1915,https://clevelandart.org/art/1915.555
Jug,Glass,glass,100–300 CE,https://clevelandart.org/art/1916.1986
Pendant,Jewelry,gold,323–31 BCE,https://clevelandart.org/art/1916.663
Figurine,Sculpture,terracotta,300–100 BCE,https://clevelandart.org/art/1916.756
Figurine,Sculpture,terracotta,300–100 BCE,https://clevelandart.org/art/1916.757
Figurine,Sculpture,terracotta,late 400s–300s BCE,https://clevelandart.org/art/1916.758
